R	1.014892e+00	5.543292e-01	4.892807e+00	1477010443050000	8.599968e-01	6.000449e-01	5.199747e+00	1.796856e-03	3.455661e-04	1.382155e-02
R	1.047505e+00	3.892401e-01	4.511325e+00	1477010443150000	1.379955e+00	6.006288e-01	5.198979e+00	1.077814e-02	2.073124e-03	2.763437e-02
R	1.698300e+00	2.982801e-01	5.209986e+00	1477010443250000	1.899823e+00	6.024697e-01	5.197661e+00	2.693234e-02	5.181582e-03	4.142974e-02
R	2.044382e+00	2.760018e-01	5.043867e+00	1477010443350000	2.419540e+00	6.062840e-01	5.195728e+00	5.023894e-02	9.668977e-03	5.519894e-02
R	2.990916e+00	2.176679e-01	5.191807e+00	1477010443450000	2.939043e+00	6.127858e-01	5.193090e+00	8.066803e-02	1.553247e-02	6.893328e-02
R	3.593878e+00	1.354522e-01	5.161753e+00	1477010443550000	3.458253e+00	6.226855e-01	5.189627e+00	1.181798e-01	2.276837e-02	8.262407e-02
R	4.255547e+00	1.648397e-01	5.433327e+00	1477010443650000	3.977082e+00	6.366893e-01	5.185194e+00	1.627238e-01	3.137210e-02	9.626268e-02
R	4.670263e+00	1.481801e-01	5.120847e+00	1477010443750000	4.495424e+00	6.554977e-01	5.179618e+00	2.142382e-01	4.133822e-02	1.098405e-01
R	5.905749e+00	6.329996e-02	4.879680e+00	1477010444050000	6.046176e+00	7.476465e-01	5.153933e+00	4.097925e-01	7.934372e-02	1.501236e-01
R	6.673922e+00	1.256145e-01	5.006870e+00	1477010444150000	6.561105e+00	7.925232e-01	5.141571e+00	4.883049e-01	9.468793e-02	1.633729e-01
R	7.318441e+00	8.629228e-02	4.649107e+00	1477010444250000	7.074691e+00	8.455782e-01	5.126847e+00	5.732691e-01	1.113545e-01	1.765190e-01
R	8.124935e+00	1.010471e-01	5.464240e+00	1477010444350000	7.586684e+00	9.074494e-01	5.109456e+00	6.645307e-01	1.293330e-01	1.895536e-01
R	8.450951e+00	1.048616e-01	4.750535e+00	1477010444450000	8.096800e+00	9.787585e-01	5.089074e+00	7.619151e-01	1.486120e-01	2.024685e-01
R	8.575491e+00	1.653115e-01	5.580596e+00	1477010444550000	8.604722e+00	1.060109e+00	5.065366e+00	8.652261e-01	1.691794e-01	2.152555e-01
R	9.946663e+00	1.150557e-01	5.240801e+00	1477010444650000	9.110101e+00	1.152082e+00	5.037982e+00	9.742446e-01	1.910221e-01	2.279066e-01
R	1.021600e+01	1.498099e-01	5.311647e+00	1477010444750000	9.612549e+00	1.255239e+00	5.006562e+00	1.088727e+00	2.141263e-01	2.404137e-01
R	1.067808e+01	1.623090e-01	4.806610e+00	1477010444850000	1.011165e+01	1.370112e+00	4.970739e+00	1.208405e+00	2.384776e-01	2.527689e-01
R	1.104064e+01	1.549056e-01	4.564011e+00	1477010444950000	1.060693e+01	1.497206e+00	4.930142e+00	1.332982e+00	2.640604e-01	2.649645e-01
